indice,estrellas,comentario,pos_tags,noun_phrases,entities,entity_density
2596,,love malecon constant attention street vendors tequila timeshare salesmen gets bit much days cruise ships avoid best day seem far vendors lots local mexican families enjoying malecon,"['PROPN', 'PROPN', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'PROPN', 'PROPN', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'VERB', 'ADV', 'NOUN', 'VERB', 'ADJ', 'ADJ', 'NOUN', 'VERB', 'NOUN']","['love malecon constant attention street vendors tequila timeshare salesmen', 'bit much days', 'cruise ships', 'best day', 'far vendors', 'local mexican families', 'malecon']","[{'text': 'mexican', 'label': 'NORP'}]",0.037037037037037035
5373,,richie temo excellent guide made experience fun canopy tour must try afraid heights families time blast recommended richie temo,"['PROPN', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'AUX', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PROPN', 'NOUN']","['richie temo excellent guide', 'experience fun canopy tour', 'afraid heights families', 'time blast', 'richie temo']",[],0.0
15370,,beautiful area fantastic sculptures walk around see special separate lanes bikes cruise around see malecon,"['ADJ', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'ADV', 'VERB', 'ADJ', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'ADP', 'VERB', 'PROPN']","['beautiful area fantastic sculptures', 'special separate lanes bikes', 'malecon']",[],0.0
16207,,tomar ferry playa,"['PROPN', 'PROPN', 'PROPN']",['tomar ferry playa'],"[{'text': 'tomar ferry playa', 'label': 'ORG'}]",0.3333333333333333
16712,,love time resort rather pool love walking surf really like boogie boarding good kids deep,"['NOUN', 'NOUN', 'NOUN', 'ADV', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'ADV', 'ADP', 'ADJ', 'VERB', 'ADJ', 'NOUN', 'ADJ']","['love time resort', 'pool love', 'surf', 'good kids']",[],0.0
20674,,avenida number times week lots touristy shops also unique boutiques restaurants lots people fun seeing seen,"['PROPN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADV', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'VERB']","['avenida number times week lots', 'touristy shops', 'boutiques', 'lots', 'people']","[{'text': 'avenida number times week', 'label': 'ORG'}]",0.0625
22719,,simply swim cenote miss amazing experience take snorkeling scuba excursion swim stalactites stalagmites cave bats beautiful unique experience,"['ADV', 'VERB', 'ADJ', 'VERB', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'PROPN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'ADJ', 'NOUN']","['amazing experience', 'snorkeling scuba excursion swim stalactites', 'stalagmites', 'bats', 'beautiful unique experience']",[],0.0
22996,,think visited cenote already coming playa carmen unique experience cannot missed place guide excellent every explanation us tour back,"['VERB', 'VERB', 'VERB', 'ADV', 'VERB', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'AUX', 'PART', 'VERB', 'NOUN', 'VERB', 'ADJ', 'DET', 'NOUN', 'PRON', 'NOUN', 'ADV']","['visited cenote already coming playa carmen', 'unique experience', 'place']",[],0.0
23085,,many advertised cenotes one certainly value actually years ago went looking time seems mostly cruise ship tell taxi driver find go center playa low key although water changing area plan spending hours like swim,"['ADJ', 'ADJ', 'NOUN', 'NUM', 'ADV', 'NOUN', 'ADV', 'NOUN', 'ADV', 'VERB', 'VERB', 'NOUN', 'VERB', 'ADV', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'VERB', 'VERB', 'NOUN', 'NOUN', 'PROPN', 'NOUN', 'SCONJ', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN']","['many advertised cenotes', 'one certainly value', 'looking time', 'cruise ship', 'taxi driver', 'center playa low key', 'hours', 'swim']","[{'text': 'one', 'label': 'CARDINAL'}, {'text': 'years ago', 'label': 'DATE'}, {'text': 'hours', 'label': 'TIME'}]",0.08823529411764706
25251,,much tour dark lit year old wondering like,"['ADJ', 'NOUN', 'ADJ', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'ADP']",['much tour dark lit year old wondering'],"[{'text': 'year old', 'label': 'DATE'}]",0.125
28065,,family stayed pullman g pattaya last weekend stayed service provided arrival helpful always easy get way thank khun give us hand since arrived stay even drop mom breakfast restaurant kind long walk really impressed service thank much staffs pool restaurant lobby nice friendly right attitude provide service kids definitely come back stay pullman g pattaya best team,"['NOUN', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'ADV', 'ADV', 'VERB', 'NOUN', 'AUX', 'PROPN', 'VERB', 'PRON', 'NOUN', 'SCONJ', 'VERB', 'VERB', 'ADV', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'ADV', 'VERB', 'ADV', 'ADJ', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'ADJ', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'ADV', 'VERB', 'ADV', 'VERB', 'NOUN', 'NOUN', 'VERB', 'ADJ', 'NOUN']","['family', 'service', 'arrival', 'khun', 'us', 'hand', 'really impressed service', 'much staffs pool restaurant lobby', 'nice friendly right attitude', 'service kids', 'pullman', 'g', 'best team']","[{'text': 'last weekend', 'label': 'DATE'}, {'text': 'khun', 'label': 'GPE'}, {'text': 'us', 'label': 'GPE'}]",0.05263157894736842
28585,,stayed night really enjoyed stay good location person want facing beach ocean view also nice swimming pool good beach club highly recommend,"['VERB', 'NOUN', 'ADV', 'VERB', 'VERB', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'VERB', 'PROPN', 'NOUN', 'NOUN', 'ADV', 'ADJ', 'NOUN', 'NOUN', 'ADJ', 'PROPN', 'NOUN', 'ADV', 'ADJ']","['good location person', 'beach ocean view']",[],0.0
29099,,snorkeling hermoso muchos regresan,"['VERB', 'PROPN', 'PROPN', 'AUX']",['hermoso muchos'],"[{'text': 'hermoso muchos', 'label': 'FAC'}]",0.25
