indice,comentario_clean,lang,location
0,playa principal restaurantes mesas sillas sombrillas lugar relajarse observar gente area puesta sol comunidad extremadamente popular clubes playa multitud lugar perfecto deportes acuaticos actividades disponibles vendedores caminando vendiendo variedad cosas,es,puerto_vallarta
1,amor playa muertos excelentes restaurantes bares playa oceano puestas sol increible beber cenar mesa playa puesta sol olas lugar lugar popular familias locales gente mirando divertido visita visto enorme abrir paso mesas increible,es,puerto_vallarta
2,playa corazon vida vacaciones restaurantes servicio lugares clubes brindan servicio adicional precio playa extremo sur area extremadamente popular comunidad asientos comer opciones beber playa parasailing disponible parejas lugares vendedores playa vendiendo masaje comida sol surf tiempos dificiles tiempos,es,puerto_vallarta
3,playa peores definitivamente intente vender bonita playa hermosas playas llenas gente amadas playas cerca,es,puerto_vallarta
4,playa agradable restaurantes sillas playa vendedores absolutamente vendedores caminando tratando relajarse playa molesta espalda,es,puerto_vallarta
5,peligroso distancia minima orilla golpeo agua local pregunto pesos locales oportunidad morir playa,es,puerto_vallarta
6,visitado playa popular malecon hoteles bordeados playa vacaciones area ocupada muelle playa muertos muelle vela pies playa playa muertos lados nombre muelle playa playa vista muerta sombrillas bordeadas arena tomando lote playa numero playa caminar actividades acuaticas disponibles,es,puerto_vallarta
7,playa muertos gente local encontro arena cercana deportes playa practicados excelentes restaurantes bares fiesta luces muelle noche punto partida barco pesca playas privadas pequena estatua caballito mar vale pena playa ninos fuertes toman natacion extra encontrado cheque,es,puerto_vallarta
8,bonita playa arena frente lugares acceso ocupado agradable paseo arenas fantasticos restaurantes tranquilos comida pajaros,es,puerto_vallarta
9,termino caminando genial realidad preparado playa agradable camine borde agua tomo lugares interes amado familias locales disfrutando agua amor lugar amor cualquiera fiesta playa playa vendedores cosa esperada playa lotes vendedores llena gente hermosa yendo pequena playa relajante amado,es,puerto_vallarta
10,hermosa animada playa llena gente maravillosa observando restaurantes bares etc. amados lugarenos turistas personas venden productos realmente vuelven vienen playa sientan entretenidos llenos,es,puerto_vallarta
11,playa arena rocoso restaurantes linea comida bebidas disponibles sillas genial mirar gente pasear borde agua gente molesta detener vendedores encontrar hablar comprar querer comida especial palapa mejores restaurantes arena derecha fabuloso,es,puerto_vallarta
12,playa encontrada cerca bar llamado superior restaurante llamado fotos bar personal llamado gente superior bar favorito playa visitar lugar calido,es,puerto_vallarta
