Lugar,Estrellas,Comentario,Red_Social
Rivera_Maya,5.0,lugar joya punto ser descubierta abundante vegetacion crea entorno agradable relajante ausencia vendedores ambulantes hace experiencia tranquila libre estres convierte sitio ideal disfrutar caminata paz,Maps
Rivera_Maya,5.0,chiquito lugar bonito verdad encanto mucha paz q pensar ahi gente algun dia iguanas andan sui casa asta posan fotos entrada m costo 80 uso cel camaras 65ps extrajeros 145,Maps
Rivera_Maya,5.0,lugar precioso jueves 8 am unica visitabte disfrute visita hermoso relajante precio 80 pesos x persona mexicanos,Maps
Rivera_Maya,5.0,zona arqueologica grande buen lugar visitar tambien muchas iguanas mosquitos sugiero llevar repelente domingos entrada gratis quintanarroenses,Maps
Rivera_Maya,4.0,lugar cerca playa delfines entrada escondida recomienda llevar repelente mosquitos zona pequeña recorres 15 minutos,Maps
Rivera_Maya,4.0,interesante lugar solo apreciaria informacion cada ruina codigo qr permite obtener informacion gustaria,Maps
Rivera_Maya,5.0,sitio pequeño bien conservado recorres menos 1hr personal amable,Maps
Rivera_Maya,5.0,lindo lugar visitar aunque actualmente encuentra cerrado,Maps
Rivera_Maya,4.0,gran valor patrimonial investigar lugar mucha descripcion ruina interesante bajo costo,Maps
Rivera_Maya,4.0,hace falta señalamientos estacionarse pasamos 3 veces lugar pequeño ruinas arqueologicas bien conservadas vayan temprano sol fuerte,Maps
Rivera_Maya,4.0,agradable visita haces cuenta guias pocos turistas visitan recorres facil 20min hecho pequeña vas encontrar muchas iguanas paisaje natural agradable palapa descanso costo 65 pesos nacionales extranjeros acceso ve simple vista estacionamiento propio puedes dejar carro entrada mirador da justo playa delfines,Maps
Rivera_Maya,4.0,lugar pequeño bonito recorre 15 20 minutos triste muchas ruinas placa explicar pienso asi pequeño lugar siempre deberian colocar descripciones visitamos lugares amamos saber historia visitamos dia domingo entrada libre nacionales lleven repelente respeten lindas iguanas,Maps
Rivera_Maya,4.0,zona arqueologica cerca playa delfines zona hotelera recomendable hace falta bastante mantenimiento solo vestigios arqueologicos sino area taquilla sanitarios carteles fichas expliquen edificaciones mayas duda alguna hace decada sitio imperdible olvido provocado decadencia respira palpa entras pena consejo mexicano visitar sitio dias domingo presentando identificacion oficial acceso completamente gratis costo actual admision 75 00,Maps
Rivera_Maya,5.0,llegada apoyo personal realizar proceso compra tickets paso paso ingreso fluido zona principal exelente lugar inconveniente señalamientos indicar salida dificil acceso personas discapacidad,Maps
Rivera_Maya,5.0,zona arqueologica pequeña bonita cerca zona hotelera cancun perfecta visitar primero despues pasarse playa delfines costo entrada accesible llevar repelente mosquitos bloqueador fotos salen excelentes bonito recuerdo aunque hace pensar zonas arqueologicas devastado construir hoteles casas u u tiempo recorrido disfrutar calma 1 5 horas,Maps
Rivera_Maya,4.0,trata complejo tamaño relativamente pequeño podemos observar varios espacios arquitectonicos cultura maya asi gran cantidad flora fauna regional silvestre buen lugar dar paseo familia incluso solo podrian ampliar informacion aunque datos zona casi meramente descriptiva informacion sustancial falta agregar,Maps
Rivera_Maya,5.0,lugar grande bien cuidado poca informacion lugar letreros gratis domingos mexicanos cuesta 70 semana sabados baños limpios personas amables padrisimo lugar encanto tome muchas fotos pagar 50 pesos deseas grabar algun video,Maps
Rivera_Maya,4.0,lugar ver ningun guia existen explicaciones lado templos exposiciones bien basicas informacion area pequeña rodeado iguanas muchas iguanas tener cuidado aplastar alguna den buen susto aire libre asi ir preparando sol entrada pesar dice prohibidas camaras solo uso camaras profesiones instrumentos profesionales puedes tomar fotos problemas existe ningun guia nadie cuidado complejo bonita experiencia gusta ver cultura ancestral entrada cuesta 55 pesos mexicanos niños pagan entrada entrada puedes comprar agua terminas sed,Maps
Rivera_Maya,5.0,hermoso lugar visitar precio accesible mexicano domingos entras gratis sino acceso costo 80 pesos unas vistas hermosas zona recorre tiempo recomendable visitar,Maps
Rivera_Maya,5.0,zona arqueologica pequeña restos arqueologicos representativos pudiste ir alguno grandes complejos region tulum coba ek balam chichenitza rey puede servir consolacion visitaste grandes complejos rey complemento visto puedes recorrer 15 minutos olvides llevar repelente mosquitos cubrir sol bloqueador solar,Maps
Rivera_Maya,5.0,verdad experiencia unica primera vez visito lugar bonito historia relatan bien hecho guia tour habla español ingles excelente tour servicio bonito recomiendo vayan lleven agua paraguas hace mucha calor sol cala pueden rentar bicicletas quieren caminar caminar vista panoramica vista mar caribe diviertanse contacto bendiciones,Maps
Rivera_Maya,5.0,encanto bien cuidado ruinas pues pueden perfecto ruinas mantienen cuidadas muchisimas iguanas precio caro cobran estudiantes 3ra edad,Maps
Rivera_Maya,5.0,pequeñas zonas arqueologicas cancun segun lei junto san miguelito museo maya urbanizacion dividio facil pasar largo buena señalizacion estacionamiento quedamos local adjunto bien mantenida pasto cortado varias estructuras descubiertas incluso restos pinturas murales vale pena conocer zonas arqueologicas visitas cancun cultura complementar diversion,Maps
Rivera_Maya,5.0,lugar transmite mucha tranquilidad bien cuidado conservan bien ruinas da tristeza tan espacio alrededor batalle encontrar entrada pues nombre escondido falta mucha atencion autoridades concurrido,Maps
Rivera_Maya,5.0,agradable lugar cercas cancun,Maps
Rivera_Maya,5.0,experiencia increible energia especial paisaje espectacular zona arqueologica sorprende impacta vista obligada vas tulum,Maps
Rivera_Maya,5.0,pequeña bonita iguanas dan encanto especial,Maps
Rivera_Maya,4.0,tomas linea 2 recorre zona hotelera solo 12 pesos encontramos lugar lindo mucha historia ideal tener infografia recorrido baños hace falta cariño igual pueden perder,Maps
Rivera_Maya,5.0,zona arqueologica pequeña bonita traer protector mosquitos bastantes zona,Maps
Rivera_Maya,4.0,lugar interesante repelente mosquitos necesario,Maps
Rivera_Maya,4.0,descuidado mantenimiento faltan señalizaciones tenia,Maps
Rivera_Maya,5.0,playa publica ubicada zona hotelera cancun puedes llegar nevera agua cervezas refrescos botanas quieras degustar nota importante permiten acceso botellas cristal,Maps
Rivera_Maya,4.0,bonito lugar mejor nuevo mundo recordar despertar conocer verdadero pasado oculto,Maps
Rivera_Maya,4.0,vistas acantilado buenas,Maps
Rivera_Maya,4.0,zonas arqueologicas zona hoteles descuidadas ofrecer zona franja recorres 10 minutos ventaja lado playa delfines,Maps
Rivera_Maya,4.0,lugar pequeño lleno historia lugar recorre pronto recomiendo ampliamente señor tercera edad trabaja como guia cuota 150 buenas referencias historicas hizo interesante visita lugar,Maps
